treatment,rep,env,fitness
T-256_G-1_A-64_P-0_U-50000,rep_10,T-256_G-1_A-64_P-0,849.666667
T-256_G-1_A-64_P-0_U-50000,rep_4,T-256_G-1_A-64_P-0,812.666667
T-256_G-1_A-64_P-0_U-50000,rep_3,T-256_G-1_A-64_P-0,802.000000
T-256_G-1_A-64_P-0_U-50000,rep_7,T-256_G-1_A-64_P-0,783.666667
T-256_G-1_A-64_P-0_U-50000,rep_5,T-256_G-1_A-64_P-0,788.666667
T-256_G-1_A-64_P-0_U-50000,rep_6,T-256_G-1_A-64_P-0,849.000000
T-256_G-1_A-64_P-0_U-50000,rep_8,T-256_G-1_A-64_P-0,821.000000
T-256_G-1_A-64_P-0_U-50000,rep_2,T-256_G-1_A-64_P-0,811.000000
T-256_G-1_A-64_P-0_U-50000,rep_1,T-256_G-1_A-64_P-0,788.333333
T-256_G-1_A-64_P-0_U-50000,rep_9,T-256_G-1_A-64_P-0,807.666667
T-256_G-2_A-64_P-1.0_U-50000,rep_10,T-256_G-2_A-64_P-1.0,741.333333
T-256_G-2_A-64_P-1.0_U-50000,rep_4,T-256_G-2_A-64_P-1.0,506.666667
T-256_G-2_A-64_P-1.0_U-50000,rep_3,T-256_G-2_A-64_P-1.0,729.333333
T-256_G-2_A-64_P-1.0_U-50000,rep_7,T-256_G-2_A-64_P-1.0,696.000000
T-256_G-2_A-64_P-1.0_U-50000,rep_5,T-256_G-2_A-64_P-1.0,741.666667
T-256_G-2_A-64_P-1.0_U-50000,rep_6,T-256_G-2_A-64_P-1.0,740.666667
T-256_G-2_A-64_P-1.0_U-50000,rep_8,T-256_G-2_A-64_P-1.0,754.333333
T-256_G-2_A-64_P-1.0_U-50000,rep_2,T-256_G-2_A-64_P-1.0,728.000000
T-256_G-2_A-64_P-1.0_U-50000,rep_1,T-256_G-2_A-64_P-1.0,733.666667
T-256_G-2_A-64_P-1.0_U-50000,rep_9,T-256_G-2_A-64_P-1.0,734.333333
T-256_G-16_A-64_P-0_U-50000,rep_10,T-256_G-16_A-64_P-0,270.666667
T-256_G-16_A-64_P-0_U-50000,rep_4,T-256_G-16_A-64_P-0,276.000000
T-256_G-16_A-64_P-0_U-50000,rep_3,T-256_G-16_A-64_P-0,281.333333
T-256_G-16_A-64_P-0_U-50000,rep_7,T-256_G-16_A-64_P-0,266.666667
T-256_G-16_A-64_P-0_U-50000,rep_5,T-256_G-16_A-64_P-0,281.666667
T-256_G-16_A-64_P-0_U-50000,rep_6,T-256_G-16_A-64_P-0,275.000000
T-256_G-16_A-64_P-0_U-50000,rep_8,T-256_G-16_A-64_P-0,275.000000
T-256_G-16_A-64_P-0_U-50000,rep_2,T-256_G-16_A-64_P-0,277.333333
T-256_G-16_A-64_P-0_U-50000,rep_1,T-256_G-16_A-64_P-0,274.666667
T-256_G-16_A-64_P-0_U-50000,rep_9,T-256_G-16_A-64_P-0,277.000000
T-256_G-2_A-64_P-0_U-50000,rep_10,T-256_G-2_A-64_P-0,634.666667
T-256_G-2_A-64_P-0_U-50000,rep_4,T-256_G-2_A-64_P-0,880.333333
T-256_G-2_A-64_P-0_U-50000,rep_3,T-256_G-2_A-64_P-0,780.333333
T-256_G-2_A-64_P-0_U-50000,rep_7,T-256_G-2_A-64_P-0,688.666667
T-256_G-2_A-64_P-0_U-50000,rep_5,T-256_G-2_A-64_P-0,823.333333
T-256_G-2_A-64_P-0_U-50000,rep_6,T-256_G-2_A-64_P-0,863.333333
T-256_G-2_A-64_P-0_U-50000,rep_8,T-256_G-2_A-64_P-0,844.000000
T-256_G-2_A-64_P-0_U-50000,rep_2,T-256_G-2_A-64_P-0,846.666667
T-256_G-2_A-64_P-0_U-50000,rep_1,T-256_G-2_A-64_P-0,667.333333
T-256_G-2_A-64_P-0_U-50000,rep_9,T-256_G-2_A-64_P-0,832.333333
T-256_G-1_A-64_P-1.0_U-50000,rep_10,T-256_G-1_A-64_P-1.0,733.000000
T-256_G-1_A-64_P-1.0_U-50000,rep_4,T-256_G-1_A-64_P-1.0,556.666667
T-256_G-1_A-64_P-1.0_U-50000,rep_3,T-256_G-1_A-64_P-1.0,733.000000
T-256_G-1_A-64_P-1.0_U-50000,rep_7,T-256_G-1_A-64_P-1.0,733.333333
T-256_G-1_A-64_P-1.0_U-50000,rep_5,T-256_G-1_A-64_P-1.0,735.000000
T-256_G-1_A-64_P-1.0_U-50000,rep_6,T-256_G-1_A-64_P-1.0,735.000000
T-256_G-1_A-64_P-1.0_U-50000,rep_8,T-256_G-1_A-64_P-1.0,729.333333
T-256_G-1_A-64_P-1.0_U-50000,rep_2,T-256_G-1_A-64_P-1.0,733.666667
T-256_G-1_A-64_P-1.0_U-50000,rep_1,T-256_G-1_A-64_P-1.0,735.000000
T-256_G-1_A-64_P-1.0_U-50000,rep_9,T-256_G-1_A-64_P-1.0,733.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_10,T-256_G-16_A-64_P-1.0,455.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_4,T-256_G-16_A-64_P-1.0,487.333333
T-256_G-16_A-64_P-1.0_U-50000,rep_3,T-256_G-16_A-64_P-1.0,427.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_7,T-256_G-16_A-64_P-1.0,408.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_5,T-256_G-16_A-64_P-1.0,506.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_6,T-256_G-16_A-64_P-1.0,413.333333
T-256_G-16_A-64_P-1.0_U-50000,rep_8,T-256_G-16_A-64_P-1.0,496.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_2,T-256_G-16_A-64_P-1.0,446.666667
T-256_G-16_A-64_P-1.0_U-50000,rep_1,T-256_G-16_A-64_P-1.0,461.000000
T-256_G-16_A-64_P-1.0_U-50000,rep_9,T-256_G-16_A-64_P-1.0,499.666667
